,0
s0003687013000707,"Next generation robotic manipulators are expected to resemble a human-like behavior at kinematic level, in order to reach the same level of dexterity of humans in operations like assembly of small pieces. These manipulators are also expected to share the same working environments with humans without artificial barriers.In this work we conjecture that making robots not only kinematically similar but also able to move and act in the same way as humans do, might facilitate their social acceptance. For this the kinematic redundancy of such new generation manipulators can be exploited. An experimental campaign has been organized to assess the physiological comfort/discomfort perceived by humans working side-by-side with robots. For comparison, a human-like and two alternative redundancy resolution strategies have been implemented. The analysis confirmed the hypothesis that a human-like motion of the robot helps in facilitating social acceptance, by reducing the perceived stress by humans in human-robot coexistence."
s0003687013000732,"Despite increased implementation of computer control systems in managing and regulating rail networks, mechanical signal boxes using lever operation will be in place for years to come. A rolling risk assessment programme identified a number of levers in mechanical signal boxes within the UK rail network which potentially presented unacceptable personal safety risk to signallers. These levers operate both points and signals and the risk is primarily the weights which have to be moved when pulling and pushing the levers. Operating difficulties are often compounded by the design and condition of lever frames, the linkages to the points/signals, maintenance regimes, the workspace and the postures and strategies adopted by signallers. Lever weights were measured as from 15 kg to 180 kg at over 160 boxes, using a specially designed and constructed device. Taken together with examination of injury and sickness absence data, interviews and field observations, and biomechanical computer modelling, the measurement programme confirmed the potential risks. A risk management programme has been implemented, comprising lever weight measurement, training of operations staff, a structured maintenance regime and renewal or redesign for boxes/levers where, after maintenance, a criterion weight level is still exceeded. For a feasible management programme, the first alert (or 1st action) value for further assessment is 55 kg, a second action level requiring specified maintenance is 80–99 kg, and a third action level requiring the lever to be signed out of use is 100 kg."
s0003687013000744,"The objective of this study was to examine the effect of wearing restrictive trousers on lumbar spine movement, trunk muscle activity and low back discomfort (LBD) in simulations of manual material handling (MMH) tasks. Twenty-eight young adults participated in the study performing box lifting, liquid container handling while squatting, and forward reaching while sitting on a task chair when wearing tight pants (sizes too small for the wearer) vs. fit pants (correct size according to anthropometry). Each task was repeated three times and video recordings were used as a basis for measuring lumbar range of motion (LRoM). The response was normalized in terms on baseline hip mobility. Trunk muscle activity of rectus abdominis (RA) and erector spinae (ES) muscles were also measured in each trial and normalized. At the close of each trial, participants rated LBD using a visual analog scale. Results revealed significant effects of both pants and task types on the normalized LRoM, trunk muscle activity and subjective ratings of LBD. The LRoM was higher and trunk muscle (ES) activity was lower for participants when wearing tight pants, as compared to fit pants. Discomfort ratings were significantly higher for tight pants than fit. These results provide guidance for recommendations on work clothing fit in specific types of MMH activities in order to reduce the potential of low-back pain among younger workers in industrial companies."
s0003687013000756,"The primary objective of this study was to investigate the stereotypes of Koreans regarding preferred walking directions when encountering various public walking facilities, and to provide useful information to pedestrians and traffic policy legislators. To this end, this study was conducted in two phases. In the first phase, we conducted observational research on pedestrians' walking directions in ten different situations. In the second phase, six hundred Korean male and female subjects were selected to investigate the various statistics about their preferred walking directions and their employment characteristics in diverse walking facilities. The results showed that 59.3% abided by the Left-side Traffic rule while 40.7% abided by the Right-side rule. On the contrary, 73.7% of respondents showed preferences to the Right-side Traffic rule. Moreover, right-handed people showed strong tendencies to walk on the right side of the road and vice versa, hence suggesting that the direction people naturally prefer in walking should be a crucial determinant when regulating traffic policies."
s0003687013000768,"Lower-back injury from snow shovelling may be related to excessive joint loading. Bent-shaft snow shovels are commonly available for purchase; however, their influence on lower back-joint loading is currently not known. Therefore, the purpose of this study was to compare L5/S1 extension angular impulses between a bent-shaft and a standard straight-shaft snow shovel. Eight healthy subjects participated in this study. Each completed a simulated snow-lifting task in a biomechanics laboratory with each shovel design. A standard motion analysis procedure was used to determine L5/S1 angular impulses during each trial, as well as peak L5/S1 extension moments and peak upper body flexion angle. Paired-samples t-tests (α = 0.05) were used to compare variables between shovel designs. Correlation was used to determine the relationship between peak flexion and peak moments. Results of this study show that the bent-shaft snow shovel reduced L5/S1 extension angular impulses by 16.5% (p = 0.022), decreased peak moments by 11.8% (p = 0.044), and peak flexion by 13.0% (p = 0.002) compared to the straight-shaft shovel. Peak L5/S1 extension moment magnitude was correlated with peak upper body flexion angle (r = 0.70). Based on these results, it is concluded that the bent-shaft snow shovel can likely reduce lower-back joint loading during snow shovelling, and thus may have a role in snow shovelling injury prevention."
s000368701300077x,"This study examined how child restraint system (CRS) features contribute to CRS installation errors. Sixteen convertible CRS, selected to include a wide range of features, were used in volunteer testing with 32 subjects. Subjects were recruited based on their education level (high or low) and experience with installing CRS (none or experienced). Each subject was asked to perform four child restraint installations in the right-rear passenger seat of a 2006 Pontiac G6 sedan using a crash dummy as a child surrogate. Each subject installed two CRS forward-facing (FF), one with LATCH and one with the vehicle seatbelt, and two CRS rear-facing (RF), one with LATCH and one with the seatbelt. After each installation, the experimenter evaluated 42 factors for each installation, such as choice of belt routing path, tightness of installation, and harness snugness.Analyses used linear mixed models to identify CRS installation outcomes associated with CRS features. LATCH connector type, LATCH strap adjustor type, and the presence of belt lockoffs were associated with the tightness of the CRS installation. The type of harness shoulder height adjuster was associated with the rate of achieving a snug harness. Correct tether use was associated with the tether storage method. In general, subject assessments of the ease-of-use of CRS features were not highly correlated with the quality of their installation, suggesting a need for feedback with incorrect installations.The data from this study provide quantitative assessments of some CRS features that were associated with reductions in CRS installation errors. These results provide child restraint designers with design guidelines for developing easier-to-use products. Research on providing effective feedback during the child restraint installation process is recommended.Graphical abstractDownload : Download full-size image"
s0003687013000781,"Proposed here is an evaluation of multiple muscle loads and a procedure for determining optimum solutions to ergonomic design problems. The simultaneous muscle load evaluation is formulated as a multi-objective optimization problem, and optimum solutions are obtained for each participant. In addition, one optimum solution for all participants, which is defined as the compromise solution, is also obtained. Moreover, the proposed method provides both objective and subjective information to support the decision making of designers. The proposed method was applied to the problem of designing the handrail position for the sit-to-stand movement. The height and distance of the handrails were the design variables, and surface electromyograms of four muscles were measured. The optimization results suggest that the proposed evaluation represents the impressions of participants more completely than an independent use of muscle loads. In addition, the compromise solution is determined, and the benefits of the proposed method are examined."
s0003687013000793,"This study was to see the effect of different coatings on the handle of hand-held drilling machines. Out of five different handles chosen for this study, including one handle uncoated. Root mean square (rms) values of the vibration levels (acceleration) were recorded at the surface of handle and wrist of the operators. Results showed that maximum vibrations were reduced by coating of handle coated with rubber sheet and Rexene (H4) followed by handle coated with cotton sandwiched between jeans cloth (H5). Equivalent vibrations transmitted through coating of handles coated with sponge and velvet (H2) and jute and cotton (H3) were of almost same magnitude and these two coated handles were able to reduce least vibration transmitted. Transmissibility of vibrations along dominant (Z) direction was analyzed using ANOVA. Results showed that coating on handles significantly affected vibration transmitted in Z direction. Vibration transmissibility ratios were found to be 0.354, 0.571, 0.408, 0.4326, and 0.3555 for handles H1, H2, H3, H4 and H5 respectively."
s000368701300080x,"Convex mirrors are universally used as rear-view mirrors in automobiles. However, the ocular accommodative responses during the use of these mirrors have not yet been examined. This study investigated the effects of a convex mirror on the ocular accommodative systems. Seven young adults with normal visual functions were ordered to binocularly watch an object in a convex or plane mirror. The accommodative responses were measured with an infrared optometer. The average of the accommodation of all subjects while viewing the object in the convex mirror were significantly nearer than in the plane mirror, although all subjects perceived the position of the object in the convex mirror as being farther away. Moreover, the fluctuations of accommodation were significantly larger for the convex mirror. The convex mirror caused the 'false recognition of distance', which induced the large accommodative fluctuations and blurred vision. Manufactures should consider the ocular accommodative responses as a new indicator for increasing automotive safety."
s0003687013000811,"In this study, a survey of the scientific literature in the field of optimum and preferred human joint angles in automotive sitting posture was conducted by referring to thirty different sources published between 1940 and today. The strategy was to use only sources with numerical angle data in combination with keywords. The aim of the research was to detect commonly used joint angles in interior car design. The main analysis was on data measurement, usability and comparability of the different studies. In addition, the focus was on the reasons for the differently described results.It was found that there is still a lack of information in methodology and description of background. Due to these reasons published data is not always usable to design a modern ergonomic car environment. As a main result of our literature analysis we suggest undertaking further research in the field of biomechanics and ergonomics to work out scientific based and objectively determined “optimum” joint angles in automotive sitting position."
s0003687013000823,"While the workers of the Wholesale and Retail Trade industrial sector suffer from musculoskeletal disorders at an alarming rate, there have been few investigative studies into potential effective interventions to reduce the ergonomic stress. The objective of the study was to determine whether a cart with an adjustable shelf could reduce awkward postures and motions while stocking products in a grocery store. Fifteen workers at a small grocery store in Puerto Rico completed stocking tasks with two types of carts: traditional and adjustable height cart or Ergo Cart. Trunk kinematics, LBD risk index, NIOSH lifting index, subjective ratings, and productivity indicators were collected during four typical stocking tasks. The Adjustable Ergo Cart reduced the sagittal trunk flexion by 7° and velocity by about 5°/s but increased twisting by about 2° and twist velocity by 4°/s as compared to the traditional cart. The LBD risk index was reduced by a small 2.4% in probability although greater reductions were found for larger items (e.g. bags of dog food and 2-L of Soda). The consensus among workers was that the adjustable cart would be easier to use. Overall, the study provides objective evidence that an ergonomically designed cart (e.g. adjustable height) has some potential to reduce sagittal trunk flexion, LBD risk index, and the NIOSH lift index. Overall, the results indicate that any intervention such as an adjustable cart can only have marginal effectiveness unless the entire systems perspective is considered."
s0003687013000835,"The main objective of this study is to establish an approach for measuring the dry and evaporative heat dissipation cricket helmets. A range of cricket helmets has been tested using a sweating manikin within a controlled climatic chamber. The thermal manikin experiments were conducted in two stages, namely the (i) dry test and (ii) wet test. The ambient air temperature for the dry tests was controlled to ∼23 °C, and the mean skin temperatures averaged ∼35 °C. The thermal insulation value measured for the manikin with helmet ensemble ranged from 1.0 to 1.2 clo. The results showed that among the five cricket helmets, the Masuri helmet offered slightly more thermal insulation while the Elite helmet offered the least. However, under the dry laboratory conditions and with minimal air movement (air velocity = 0.08 ± 0.01 ms−1), small differences exist between the thermal resistance values for the tested helmets. The wet tests were conducted in an isothermal condition, with an ambient and skin mean temperatures averaged ∼35 °C, the evaporative resistance, Ret, varied between 36 and 60 m2 Pa W−1. These large variations in evaporative heat dissipation values are due to the presence of a thick layer of comfort lining in certain helmet designs. This finding suggests that the type and design of padding may influence the rate of evaporative heat dissipation from the head and face; hence the type of material and thickness of the padding is critical for the effectiveness of evaporative heat loss and comfort of the wearer. Issues for further investigations in field trials are discussed."
s0003687013000847,"While walking on an instrumented treadmill, 20 subjects were perturbed by lateral sinusoidal oscillations representative of those encountered in transport: frequencies in the range 0.5–2 Hz and accelerations in the range 0.1–2.0 ms−2 r.m.s., corresponding to velocities in the range 0.032–0.16 ms−1 r.m.s. Postural stability was assessed from the self-reported probability of losing balance (i.e., perceived risk of falling) and the movements of the centre of pressure beneath the feet. With the same acceleration at all frequencies, the velocities and displacements of the oscillatory perturbations were greater with the lower frequency oscillations, and these caused greater postural instability. With the same velocity at all frequencies, postural instability was almost independent of the frequency of oscillation. Movements of the centre of pressure show that subjects attempted to compensate for the perturbations by increasing their step width and increasing their step rate."
s0003687013000859,"Bicycling posture leads to considerable discomfort and a variety of chronic injuries. This necessitates a proper bicycle design to avoid injuries and thereby enhance rider comfort. The objective of this study was to investigate the muscle activity during cycling on three different bicycle designs, i.e., rigid frame (RF), suspension (SU) and sports (SP) using surface electromyography (sEMG). Twelve male volunteers participated in this study. sEMG signals were acquired bilaterally from extensor carpi radialis (ECR), trapezius medial (TM), latissimus dorsi medial (LDM) and erector spinae (ES), during 30 min of cycling on each bicycle and after cycling. Time domain (RMS) and frequency domain (MPF) parameters were extracted from acquired sEMG signals. From the sEMG study, it was found that the fatigue in right LDM and ES were significantly (p < 0.05) higher in SP bicycle. This was corroborated by a psychophysical assessment based on RBG pain scale. The study also showed that there was a significantly lesser fatigue with the SU bicycle than the RF and SP bicycles."
s0003687013000860,"Inconsistencies among testing methods and results in previous research prompted this study that builds upon a systematic usability testing research framework to better understand how interface medium influences users' abilities to detect usability flaws in applications. Interface medium was tested to identify its effects on users' perceptions of usability and abilities to detect usability problems and severe usability problems. Results indicated that medium has no effect on users' abilities to detect usability problems or perceptions of usability. However, results did indicate an interaction between the medium and the tested application in which users were able to identify significantly more usability problems on a higher fidelity medium using a particular application. Results also indicated that as users' perceptions of an application's usability increases, the users are less able to detect usability problems in that application. Usability testing should begin early in the design process, even if low fidelity mediums will be used."
s0003687013000884,"This paper presents an integrative framework to evaluate ecommerce website efficiency from the user viewpoint using Data Envelopment Analysis (DEA). This framework is inspired by concepts driven from theories of information processing and cognition and considers the website efficiency as a measure of its quality and performance. When the users interact with the website interfaces to perform a task, they are involved in a cognitive effort, sustaining a cognitive cost to search, interpret and process information, and experiencing either a sense of satisfaction or dissatisfaction for that. The amount of ambiguity and uncertainty, and the search (over-)time during navigation that they perceive determine the effort size – and, as a consequence, the cognitive cost amount – they have to bear to perform their task. On the contrary, task performing and result achievement provide the users with cognitive benefits, making interaction with the website potentially attractive, satisfying, and useful. In total, 9 variables are measured, classified in a set of 3 website macro-dimensions (user experience, site navigability and structure). The framework is implemented to compare 52 ecommerce websites that sell products in the information technology and media market. A stepwise regression is performed to assess the influence of cognitive costs and benefits that mostly affect website efficiency."
s0003687013000896,"The aim of the present study was to formulate the relationship between the perceived discomfort and the joint moment ratio for twelve joint motion directions of the upper limb by considering the between-subject variability, and to investigate the effect of joint motion direction. Three approximation models (i.e., linear, exponential, and logistic function models) were compared in terms of the accuracy of predicting the perceived discomfort, and the logistic function was selected because its average error was lowest. The concept of L-R fuzzy number was used to consider the individual variability of perceived discomfort, and a simplified distribution of perceived discomfort was represented. Cluster analysis showed that the twelve discomfort functions formed two clusters: one for elbow flexion and a second for the remaining joint motions. The data show that elbow flexion is more sensitive than other joint motions to increases in the joint moment ratio."
s0003687013000902,Customization is assumed to reduce error and increase user acceptance in the human–machine relation. Reconfiguration gives the operator the option to customize a user interface according to his or her own preferences. An experimental study with 72 computer science students using a simulated process control task was conducted. The reconfiguration group (RG) interactively reconfigured their user interfaces and used the reconfigured user interface in the subsequent test whereas the control group (CG) used a default user interface. Results showed significantly lower error rates and higher acceptance of the RG compared to the CG while there were no significant differences between the groups regarding situation awareness and mental workload. Reconfiguration seems to be promising and therefore warrants further exploration.
s0003687013000914,"A comparison of 14 currently applicable wood harvesting systems was assessed with respect to ergonomic point of view. For this purpose, the research method, based on the Hodges–Lehmann rule and the integrated work-severity rate of single machinery, was developed for ergonomic evaluation of cut-to-length, tree-length and full-tree harvesting systems. Altogether, about 130 different parameters of 36 units of equipment that impact on the ergonomics and work conditions were measured and estimated in interviews undertaken directly at forestry harvesting workplaces in 15 logging companies in the Republic of Karelia, Northwest Russia. Then the results were compared to the effective norms, and the degree of compliance with the stipulated values was determined. The estimates obtained for the degree of compliance were combined. This permits a direct comparison of the workload on forestry harvesting workers such as operators, lumberjacks and choker setters. In many respects, the current ergonomic standard is standard, except for the operators of cable skidders, chainsaws and choker settings. Visibility and work postures were considered to be the most critical features influencing the operator's performance. Problems still exist, despite the extensive development of cabs. The best working conditions in terms of harvesting systems were provided by “harvester + forwarder” in cut-to-length harvesting, and “feller–buncher + grapple skidder” in full-tree harvesting. The motor-manual tree-length harvesting performed with cable skidders showed the worst results in terms of ergonomics."
s0003687013000938,"Research has shown that sustained attention or vigilance declines over time on task. Sustained attention is necessary in many environments such as air traffic controllers, cyber operators, and imagery analysts. A lapse of attention in any one of these environments can have harmful consequences. The purpose of this study was to determine if eye blink metrics from an eye-tracker are related to changes in vigilance performance and cerebral blood flow velocities. Nineteen participants performed a vigilance task while wearing an eye-tracker on four separate days. Blink frequency and duration changed significantly over time during the task. Both blink frequency and duration increased as performance declined and right cerebral blood flow velocity declined. These results suggest that eye blink information may be an indicator of arousal levels. Using an eye-tracker to detect changes in eye blinks in an operational environment would allow preventative measures to be implemented, perhaps by providing perceptual warning signals or augmenting human cognition through non-invasive brain stimulation techniques."
s0003687013000963,Human factors systems approaches are critical for improving healthcare quality and patient safety. The SEIPS (Systems Engineering Initiative for Patient Safety) model of work system and patient safety is a human factors systems approach that has been successfully applied in healthcare research and practice. Several research and practical applications of the SEIPS model are described. Important implications of the SEIPS model for healthcare system and process redesign are highlighted. Principles for redesigning healthcare systems using the SEIPS model are described. Balancing the work system and encouraging the active and adaptive role of workers are key principles for improving healthcare quality and patient safety.
s0003687013001117,"An intergroup case study was undertaken to determine if: 1) There exist distinct mental models of home heating function, that differ significantly from the actual functioning of UK heating systems; and 2) Mental models of thermostat function can be categorized according to Kempton's (1986) valve and feedback shared theories, and others from the literature. Distinct, inaccurate mental models of the heating system, as well as thermostat devices in isolation, were described. It was possible to categorise thermostat models by Kempton's (1986) feedback shared theory, but other theories proved ambiguous. Alternate control devices could be categorized by Timer (Norman, 2002) and Switch (Peffer et al., 2011) theories. The need to consider the mental models of the heating system in terms of an integrated set of control devices, and to consider user's goals and expectations of the system benefit, was highlighted. The value of discovering shared theories, and understanding user mental models, of home heating, are discussed with reference to their present day relevance for reducing energy consumption."
s0003687013001130,"In the study, we checked: 1) how the simulator test conditions affect the severity of simulator sickness symptoms; 2) how the severity of simulator sickness symptoms changes over time; and 3) whether the conditions of the simulator test affect the severity of these symptoms in different ways, depending on the time that has elapsed since the performance of the task in the simulator.We studied 12 men aged 24–33 years (M = 28.8, SD = 3.26) using a truck simulator. The SSQ questionnaire was used to assess the severity of the symptoms of simulator sickness. Each of the subjects performed three 30-minute tasks running along the same route in a driving simulator. Each of these tasks was carried out in a different simulator configuration: A) fixed base platform with poor visibility; B) fixed base platform with good visibility; and C) motion base platform with good visibility. The measurement of the severity of the simulator sickness symptoms took place in five consecutive intervals.The results of the analysis showed that the simulator test conditions affect in different ways the severity of the simulator sickness symptoms, depending on the time which has elapsed since performing the task on the simulator. The simulator sickness symptoms persisted at the highest level for the test conditions involving the motion base platform. Also, when performing the tasks on the motion base platform, the severity of the simulator sickness symptoms varied depending on the time that had elapsed since performing the task. Specifically, the addition of motion to the simulation increased the oculomotor and disorientation symptoms reported as well as the duration of the after-effects."
s0003687013001142,"The Rapid Upper Limb Assessment (RULA) is an observation-based screening tool that has been used to assess postural risks of children in school settings. Studies using eye-tracking technology suggest that visual search strategies are influenced by experience in the task performed. This study investigated if experience in postural risk assessments contributed to differences in outcome scores on the RULA and the visual search strategies utilized. While wearing an eye-tracker, 16 student occupational therapists and 16 experienced occupational therapists used the RULA to assess 11 video scenarios of a child using different mobile information and communication technologies (ICT) in the home environment. No significant differences in RULA outcome scores, and no conclusive differences in visual search strategies between groups were found. RULA can be used as a screening tool for postural risks following a short training session regardless of the assessor's experience in postural risk assessments."
s0003687013001154,"The physical demands on firefighting personnel were investigated when using different types of hand-carried stair descent devices designed for the emergency evacuation of high rise buildings as a function of staircase width and evacuation urgency. Twelve firefighters used three hand-carried stair descent devices during simulated urgent and non-urgent evacuations. The devices were evaluated under three staircase width conditions (0.91, 1.12, and 1.32 m). For comparison, an urgent manual carry was also performed on the 1.12 m wide stairs. Dependent measures included electromyographic (EMG) data, heart rates, Borg Scale ratings, task durations and descent velocities. Results indicated that the stair chair with extended front handles, which allows the front person to descend the stairs facing forward, reduced the time integrated back muscle EMG by half and showed a descent velocity that was 1.8 times faster than the other stair descent devices in the study. There were no differences across staircase widths."
s0003687013001166,"Investigating the effect of touch-key size on usability of In-Vehicle Information Systems (IVISs) is one of the most important research issues since it is closely related to safety issues besides its usability. This study investigated the effects of the touch-key size of IVISs with respect to safety issues (the standard deviation of lane position, the speed variation, the total glance time, the mean glance time, the mean time between glances, and the mean number of glances) and the usability of IVISs (the task completion time, error rate, subjective preference, and NASA-TLX) through a driving simulation. A total of 30 drivers participated in the task of entering 5-digit numbers with various touch-key sizes while performing simulated driving. The size of the touch-key was 7.5 mm, 12.5 mm, 17.5 mm, 22.5 mm and 27.5 mm, and the speed of driving was set to 0 km/h (stationary state), 50 km/h and 100 km/h. As a result, both the driving safety and the usability of the IVISs increased as the touch-key size increased up to a certain size (17.5 mm in this study), at which they reached asymptotes. We performed Fitts' law analysis of our data, and this revealed that the data from the dual task experiment did not follow Fitts' law."
s0003687013001178,"An investigation of how emergency vehicle lighting (EVL) can be improved is reported with reference to an analysis of police vehicle road traffic accidents (Study 1). In Study 2, 37 regular drivers were shown film clips of a marked police vehicle, in which flash rate (1 Hz, 4 Hz) and pattern (single, triple pulse) were varied on the blue Light Emitting Diode (LED) roofbar. Results indicate a 4 Hz flash rate conveys greater urgency than a 1 Hz rate, while a 1 Hz, single flash combination was ranked the least urgent of all combinations. Participants claimed they would leave significantly more space before pulling out in front of an approaching police car (gap acceptance) in the 4 Hz single pulse condition in comparison to other EVL combinations. The preliminary implications for which flash characteristics could prove most optimal for emergency service use are discussed with regard to effects on driver perception and expected driving behaviour."
